Locus,Sec_Struct_Sheet,Percent_C,Local Average Connectivity,Density of Maximum neighborhood Component,Topology Potential,Edge Clustering Coefficient,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering,predict_rfc_over,predict_rfc_under
6183.A0A146MIG6,0.3614457831325301,0.0240963855421686,0.3253289640868267,0.4271287128712871,129.01518584202296,0.4353449546300933,0.008541948579161,0.000800693675984,1.827878878682489e-06,0.4420471773257263,0.4271287128712871,0,0
6183.A0A146MIU7,0.3294117647058823,0.0235294117647058,0.2507944267905158,0.3569230769230769,80.3521866292079,0.3569230769230769,0.0021989174560216,0.0001977293493675,3.359521359909476e-07,0.4055779784747487,0.3569230769230769,0,0
6183.A0A146MJ29,0.3999999999999999,0.0333333333333333,0.18520509243441,0.523756906077348,171.09879763042986,0.5335419354010756,0.015307848443843,0.0007667871197557,8.596697554195067e-06,0.4709115670314666,0.523756906077348,0,0
6183.A0A146MJ75,0.3578947368421052,0.1052631578947368,0.1501466634074798,0.525,56.919362198719895,0.3315789473684211,0.0016914749661705,7.276147578588675e-05,1.4202985431734882e-08,0.3791269548096694,0.331578947368421,0,0
6183.A0A146MJ81,0.3389830508474576,0.0338983050847457,0.2585284771449523,0.2427536231884058,84.31088955697625,0.2233333333333332,0.0021143437077131,0.0001395634294195,1.543684495482021e-07,0.4110541368339014,0.2233333333333333,0,0
6183.A0A146MJF6,0.3918918918918919,0.1081081081081081,0.1522132841492411,0.3627311522048364,68.55060118961653,0.2790697674418606,0.0037212449255751,0.0001833142112458,9.638188444845138e-07,0.3841097306244835,0.2790697674418604,0,0
6183.A0A2H4UCT2,0.2558922558922559,0.0101010101010101,0.1837315007627115,0.2225268080303152,161.74020866379772,0.2560250598618637,0.0133626522327469,0.0007070861723925,2.021288022277746e-05,0.4668122689596357,0.2225268080303152,0,0
6183.A0A3G6V9T0,0.3102918586789554,0.021505376344086,0.3553743519323019,0.3715005596566835,592.905410539905,0.4755751345688014,0.1256765899864682,0.0163201081623163,0.0001596377770208,0.522802184676721,0.3715005596566835,1,0
6183.A0A3Q0KB89,0.28643216080402,0.0211055276381909,0.3927212370191056,0.4173918075859115,416.6749500351262,0.4554885335088604,0.0786535859269282,0.0103598121018144,4.336119708132855e-05,0.5063400749981011,0.4173918075859115,1,0
6183.A0A3Q0KB90,0.3142857142857142,0.0285714285714285,0.3981511212255678,0.4311130918618156,394.14432131316914,0.4642519536152637,0.07281799729364,0.0097637462363716,3.787532622541891e-05,0.5030500301887413,0.4311130918618156,0,0
6183.A0A3Q0KB92,0.276566757493188,0.0190735694822888,0.398442980336871,0.4337222838887836,393.8197159085758,0.4670999740836659,0.0727334235453315,0.0097642279873984,3.76474515618234e-05,0.5030067403104925,0.4337222838887836,1,0
6183.A0A3Q0KB93,0.2456479690522243,0.0135396518375241,0.3786443485335483,0.3639437222489702,652.0090720644407,0.4692891749372966,0.1416610284167794,0.0190830245243542,0.0001253671927093,0.5269497251095856,0.3639437222489702,1,1
6183.A0A3Q0KB94,0.347261434217956,0.0158102766798418,0.2138580624134278,0.2926126126126126,120.44258953280617,0.2930121425773601,0.0063430311231393,0.0004185008405691,1.427445136738756e-06,0.4409799944004586,0.2926126126126126,0,0
6183.A0A3Q0KB95,0.3318566250503423,0.0169150221506242,0.4317802335183043,0.5064081090805325,244.24258591493145,0.5130155351973477,0.033998646820027,0.0052540324355787,1.8556912664379733e-05,0.4821371572382628,0.5064081090805325,0,0
6183.A0A3Q0KB96,0.3115727002967359,0.0029673590504451,0.1104801659678217,0.4449122807017543,81.42527050923181,0.4222444222444221,0.0065967523680649,0.0002140263416026,9.172430729724208e-07,0.3873423561696484,0.4222444222444222,0,0
6183.A0A3Q0KB97,0.3698113207547169,0.0226415094339622,0.2463116496954558,0.2022427688620503,305.66734154332806,0.267020539277454,0.0493910690121786,0.0034812876458516,0.0002206197217031,0.4939736183366922,0.2022427688620503,1,0
6183.A0A3Q0KB98,0.409090909090909,0.0113636363636363,0.3232793867570329,0.47069059553801,200.50482167802983,0.517706667026498,0.0235115020297699,0.0023320616717125,3.471626890503559e-05,0.4710633699301348,0.47069059553801,0,0
6183.A0A3Q0KB99,0.3016055045871559,0.0286697247706422,0.2494752882560056,0.1881923955199536,494.1556577916151,0.2902214949793176,0.0993741542625169,0.0080119195218119,0.0005186459347841,0.5131185380132623,0.1881923955199536,1,1
6183.A0A3Q0KBA2,0.3036684782608696,0.0224184782608695,0.2885897987266316,0.2875799818002174,676.6899447053584,0.484893453637105,0.1483423545331529,0.0125082862456799,0.0002966384071383,0.5286176645514881,0.2875799818002174,0,1
6183.A0A3Q0KBA3,0.3413461538461538,0.0192307692307692,0.3796132385978102,0.44168959063446,685.7344981092142,0.584744922732552,0.1509641407307172,0.0215206334465911,0.0001047961997406,0.5279253816634826,0.44168959063446,0,0
6183.A0A3Q0KBA5,0.3139534883720929,0.0174418604651162,0.2847714495233439,0.4448576092871394,151.15947745210372,0.4452632087645656,0.0126014884979702,0.0010485958574835,1.910102907921984e-06,0.4538367037367972,0.4448576092871394,0,0
6183.A0A3Q0KBA7,0.365558912386707,0.0271903323262839,0.3356255612052454,0.3115732141170544,559.3863100339137,0.4101021939238462,0.116796346414073,0.0134222814045888,0.000354500811432,0.5190879468743022,0.3115732141170544,0,1
6183.A0A3Q0KBA8,0.3176895306859206,0.0259927797833935,0.222998363982875,0.4186030428769018,180.82419128436985,0.4333432818625633,0.0203822733423545,0.0015934910901618,1.26129943682537e-05,0.4568874683064117,0.4186030428769018,0,0
6183.A0A3Q0KBA9,0.3045786330457863,0.0278699402786994,0.4248780236141601,0.4051531390850694,591.3671273345842,0.4524307324285956,0.1254228687415426,0.0189571538935533,4.58302036331745e-05,0.5214729080005422,0.4051531390850694,0,0
6183.A0A3Q0KBB1,0.4065934065934066,0.0219780219780219,0.1580390933841317,0.1528735632183908,149.17524148262726,0.1577957742061212,0.0122631935047361,0.0004733343009412,4.992233601188217e-06,0.4527820462278228,0.1528735632183908,0,0
6183.A0A3Q0KBB4,0.2558139534883721,0.0232558139534883,0.3465257849673356,0.3551305246833807,305.1582144377024,0.3682563232324848,0.0493910690121786,0.0059391409073235,5.155092548646313e-05,0.4929945452518094,0.3551305246833807,1,0
6183.A0A3Q0KBB7,0.2968299711815562,0.0172910662824207,0.2902468834025911,0.2939024390243902,97.59901781908404,0.2437373737373737,0.0038058186738836,0.000351030986015,5.314344098937148e-07,0.4208503006536164,0.2434343434343434,0,0
6183.A0A3Q0KBB9,0.3103130755064456,0.0294659300184162,0.1836620830899301,0.1745634309193631,162.87182039040226,0.1805900538550879,0.0149695534506089,0.0008804290735047,1.8939048811345217e-05,0.4591845575849859,0.1745634309193631,0,0
6183.A0A3Q0KBC0,0.2819025522041763,0.0185614849187935,0.3245016750918977,0.5059637424937632,384.6010504763073,0.534538198459752,0.0709573748308525,0.0066058366077959,2.8813648886004848e-05,0.49733598449571,0.5059637424937632,1,0
6183.A0A3Q0KBC2,0.2955465587044534,0.0,0.3933823469098151,0.4409283176357791,306.5851595331726,0.4838451648710497,0.0504059539918809,0.0070114116706844,1.892649849276368e-05,0.4888099871030338,0.4409283176357791,0,0
6183.A0A3Q0KBC3,0.3480662983425414,0.0165745856353591,0.291694882413919,0.3082481108376518,318.1864163693061,0.3413785238982132,0.0530277401894452,0.0044363024155294,5.264249275566079e-05,0.4929737560747304,0.3082481108376518,1,0
6183.A0A3Q0KBC4,0.3714285714285714,0.019047619047619,0.2185785573328723,0.3488761358201817,174.10803996750295,0.349829325869207,0.0173376184032476,0.0009137153937826,7.361396985964039e-06,0.4637751280023865,0.3488761358201817,0,0
6183.A0A3Q0KBC6,0.3066439522998296,0.0187393526405451,0.3012681618954939,0.5007778464268174,370.5509203435324,0.5447250998103339,0.0672361299052774,0.0058972331391769,3.131563240414363e-05,0.4959645179057382,0.5007778464268174,1,1
6183.A0A3Q0KBC8,0.2508833922261484,0.0123674911660777,0.389473348835363,0.5346862288038758,414.9146088754164,0.5978727998824456,0.0791610284167794,0.0116695787950815,7.630517788684757e-05,0.4992475081805669,0.5346862288038758,0,0
6183.A0A3Q0KBD0,0.3342541436464088,0.0524861878453038,0.3787465727937822,0.3828236279849183,161.72586710140976,0.3731784579639404,0.0132780784844384,0.0016575511234824,3.943610783627389e-06,0.4674842904609173,0.3731014208721215,0,0
6183.A0A3Q0KBD1,0.3113636363636364,0.0227272727272727,0.2692656026932808,0.2432642363992478,501.7839277650996,0.3783098043289212,0.1012347767253044,0.0077381035352652,0.0002076839070619,0.5150627682758143,0.2432642363992478,1,1
6183.A0A3Q0KBD2,0.3294117647058823,0.0196078431372549,0.3793592558289734,0.4214844682973432,326.5746511923388,0.4794858716526845,0.0553112313937753,0.0071898345563205,0.0001920906926911,0.4935148451349272,0.4214844682973432,0,0
6183.A0A3Q0KBD4,0.3004651162790698,0.0213953488372093,0.3195030009434134,0.3214086471408647,191.342606688848,0.3276213816242045,0.020466847090663,0.0019883701823745,2.8522052870757505e-05,0.4740816599033277,0.3161071293851377,0,1
6183.A0A3Q0KBD5,0.3091787439613526,0.0338164251207729,0.2743747130186967,0.2595939933259177,267.88389276830424,0.2786227982765129,0.0396650879566982,0.0036045231652556,3.189868496467449e-05,0.4883403505391268,0.2551983671386656,1,1
6183.A0A3Q0KBD6,0.3333333333333333,0.038647342995169,0.381525693559011,0.4029431901000449,490.6698222280936,0.445254183799849,0.0986129905277402,0.0134755575284357,8.234623960579712e-05,0.5115915999980813,0.4029431901000449,0,0
6183.A0A3Q0KBE1,0.2968127490039841,0.0229083665338645,0.2696101952192558,0.3651234567901235,118.83716003873931,0.3651234567901233,0.0068504736129905,0.0006020334832881,9.059142382104012e-07,0.4357854190545052,0.3651234567901235,0,0
6183.A0A3Q0KBE3,0.3564920273348519,0.0113895216400911,0.2069700038411844,0.6181818181818182,71.47779059730674,0.1809523809523809,0.001776048714479,9.437751882745124e-05,9.317531523934868e-08,0.3957876443632108,0.1809523809523809,0,0
6183.A0A3Q0KBE4,0.3065326633165829,0.0653266331658291,0.3411581649831826,0.3171545979402512,493.5655068078974,0.385477975015737,0.0990358592692828,0.0104000577816499,0.0003157457534755,0.5143149868700465,0.3171545979402512,1,1
6183.A0A3Q0KBE7,0.2895569620253164,0.0332278481012658,0.2116651992415271,0.3195217480931767,126.81940518324146,0.2964300812007421,0.008711096075778,0.0005279610117562,5.449101185677136e-06,0.4376452400253129,0.2954502189225205,0,0
6183.A0A3Q0KBE9,0.3250620347394541,0.0173697270471464,0.1369326544516504,0.1393728222996515,95.0607304076722,0.1141630494081927,0.0039749661705006,0.0001446141587436,7.335865272674342e-07,0.416620800126734,0.1110083256244218,0,0
6183.A0A3Q0KBF0,0.3953934740882917,0.0249520153550863,0.2124254381648661,0.4347678465325524,147.52501365611352,0.4464669982395077,0.0130243572395128,0.0008520576658439,3.007260242709602e-05,0.4457043597375484,0.4347678465325524,0,0
6183.A0A3Q0KBF1,0.3471074380165289,0.024793388429752,0.2871936946123659,0.274088729883396,488.04332894409407,0.3679729767424655,0.0980209742895805,0.0081840253926202,0.0005782797175083,0.5105192214313358,0.2712629701323725,1,1
6183.A0A3Q0KBF2,0.3357015985790408,0.0142095914742451,0.2388422019740557,0.1609649516626261,197.034266310992,0.191885559841196,0.022073748308525,0.0016864175727151,0.000171942200037,0.474023990412625,0.1585027998821102,0,0
6183.A0A3Q0KBF4,0.3236514522821576,0.0207468879668049,0.2333752728694191,0.3014846925410466,272.5607720184736,0.3137319970413146,0.0413565629228687,0.0025173049687236,3.5993491917914225e-05,0.4857834885333952,0.2990210868617788,1,1
6183.A0A3Q0KBF5,0.3062499999999999,0.01875,0.3353592142396835,0.4539573151436307,187.0037582286776,0.4504693606878918,0.020466847090663,0.0020951860839918,9.876101691254513e-06,0.4665700691074456,0.4428174616782689,0,0
6183.A0A3Q0KBF7,0.394578313253012,0.0180722891566265,0.3427432878752565,0.3056895836249211,408.7517305812418,0.3426775748465858,0.0763700947225981,0.0086485668743543,8.39982506427074e-05,0.5068230144609449,0.3056895836249211,1,0
6183.A0A3Q0KBF8,0.2519230769230769,0.0057692307692307,0.3587183347388078,0.3463413596471985,510.18282425322207,0.434751247615771,0.1037719891745602,0.0130918966969391,0.0003140783669925,0.5136596358168706,0.3463413596471985,1,1
6183.A0A3Q0KBF9,0.308133971291866,0.0200956937799043,0.3466980527672862,0.3388724325380033,434.8302244704706,0.3853471745607648,0.0838971583220568,0.0099265798103356,8.445656956845896e-05,0.5050712715612269,0.3388724325380033,1,0
6183.A0A3Q0KBG0,0.4206008583690986,0.0300429184549356,0.0,0.0,0.3246454621109528,0.0,8.457374830852504e-05,6.733036598044814e-34,0.0,8.457374830852504e-05,0.0,0,0
6183.A0A3Q0KBG1,0.2926447574334898,0.0140845070422535,0.2856621451030159,0.39822298913208,229.44305492797827,0.3993153996378584,0.0308694181326116,0.0027834969410063,1.4702236231890538e-05,0.4757408396026597,0.3960409453560138,1,1
6183.A0A3Q0KBG3,0.2457786116322701,0.0140712945590994,0.3278308900720202,0.4897989651262145,371.1891891915564,0.5112804567646906,0.0671515561569688,0.0063623169651687,3.032444780829428e-05,0.4977595014713513,0.4897989651262145,1,0
6183.A0A3Q0KBG4,0.3080568720379146,0.0236966824644549,0.160596431190418,1.0,25.133299720569667,1.0,0.0003382949932341,1.9355429942458057e-05,0.0,0.3495299782203001,1.0,0,0
6183.A0A3Q0KBG5,0.3463768115942029,0.0956521739130434,0.3898741969464929,0.3945347680365477,750.3087116742712,0.5294571780052442,0.1680480378890392,0.0242712828070489,7.66577551882175e-05,0.5355680617352098,0.3945347680365477,0,0
6183.A0A3Q0KBG6,0.2809638554216867,0.0149397590361445,0.3621832724783667,0.4076690294149528,616.3207734531503,0.5143241583959779,0.1325270635994587,0.0174774900347114,0.0001246798071028,0.5205209337707003,0.4076690294149528,1,1
6183.A0A3Q0KBG7,0.3203342618384401,0.0208913649025069,0.3331690159971754,0.2798056359451003,747.958997950094,0.4436774295056813,0.1674560216508795,0.0193126085504146,0.0003019931594538,0.535004331680754,0.2798056359451003,0,1
6183.A0A3Q0KBG9,0.3416046319272126,0.0289495450785773,0.3907212880649435,0.4378143154426429,311.0117274814503,0.481314291169002,0.0514208389715832,0.0071137755948305,2.0741341142414617e-05,0.4903065743218621,0.4378143154426429,0,0
6183.A0A3Q0KBH0,0.3204334365325077,0.023219814241486,0.3869176392826438,0.4267063182527301,323.53142058795305,0.4805220378291194,0.054296346414073,0.007387029089956,3.372303501109956e-05,0.4944959879681975,0.4253770150806032,0,0
6183.A0A3Q0KBH1,0.336734693877551,0.0238095238095238,0.2302428556821307,0.2933972840654599,395.1033554688893,0.3599576970064924,0.0729871447902571,0.0044670688733874,0.0001395148582907,0.5036785718033675,0.2933972840654599,1,1
6183.A0A3Q0KBH2,0.3450292397660818,0.0321637426900584,0.4246257573244404,0.558010774142059,402.5945115475528,0.5987165619530288,0.0757780784844384,0.0119463754684313,2.3812122518760923e-05,0.4988427416921765,0.558010774142059,0,0
6183.A0A3Q0KBH5,0.3151183970856102,0.0418943533697632,0.3187440279104909,0.2829545454545454,239.53229663567632,0.2889107993389537,0.0325608930987821,0.0035449186263745,1.371820255752119e-05,0.4829338477116602,0.2829545454545454,1,0
6183.A0A3Q0KBH8,0.3984168865435356,0.0343007915567282,0.1118491811293082,0.1936936936936936,86.33529951147625,0.1653846153846153,0.003382949932341,0.0001146427289841,2.6849300987636832e-06,0.4077423058685137,0.1653846153846153,0,0
6183.A0A3Q0KBI3,0.4247560349255265,0.014894709809964,0.3773025935418335,0.4526430455223025,215.1299427249029,0.4285558312577627,0.0282476319350473,0.003841469197253,2.1889629420363743e-05,0.467148038024222,0.4259049468630307,0,0
6183.A0A3Q0KBI6,0.3363874345549738,0.0052356020942408,0.1008211829526911,0.3424657534246575,98.31270162918491,0.344850055534987,0.0062584573748308,0.0001602514019038,2.159904672132069e-06,0.4099442315655979,0.3424657534246575,0,0
6183.A0A3Q0KBJ1,0.3924050632911393,0.0569620253164556,0.1990605680566116,0.2216131160854779,173.05675376910582,0.2283196421184099,0.0168301759133964,0.0010720120878513,1.7791190559167275e-05,0.4649741329868808,0.2216131160854779,0,0
6183.A0A3Q0KBJ2,0.336734693877551,0.0204081632653061,0.2826949122448021,0.2442096411841898,607.7374011832326,0.4148547662809754,0.1298207036535859,0.0106283035875313,0.0004870422374966,0.5227554286793434,0.2442096411841898,1,1
6183.A0A3Q0KBJ6,0.2945570971184632,0.016008537886873,0.2717894753240856,0.2819045159147829,329.3265321138145,0.3442672270285177,0.055734100135318,0.0050462728984006,0.0001093942385039,0.4958172725233759,0.2819045159147829,1,1
6183.A0A3Q0KBJ8,0.3700934579439252,0.016822429906542,0.1162181070305717,0.1936090225563909,98.13305043674436,0.1879061342405299,0.0049052774018944,0.0001465580025858,1.1670116664662713e-06,0.4161610356183887,0.1869328493647913,0,0
6183.A0A3Q0KBK2,0.3130193905817174,0.0249307479224376,0.2473159603902622,0.2808441819243106,458.0951799538288,0.3835561350323229,0.089563599458728,0.0061514127322926,0.0001708697352827,0.5110995344535548,0.2808441819243106,1,1
6183.A0A3Q0KBK3,0.2532561505065123,0.0289435600578871,0.2777683496630011,0.2566833807652346,266.7953506125861,0.2774394991329099,0.0398342354533152,0.0036426645661304,0.0001070417029108,0.4852189287990768,0.2566833807652346,1,1
6183.A0A3Q0KBK4,0.3039723661485319,0.0259067357512953,0.0934388495070479,0.0870192307692307,123.1619810730776,0.0280476892516063,0.010148849797023,0.0003000051027405,1.5982549454078275e-05,0.4248575247694489,0.0259103641456582,0,0
6183.A0A3Q0KBK7,0.2634088200238379,0.0083432657926102,0.1437817599912548,0.3715230186245263,143.13436743432598,0.3826456815257676,0.0136163734776725,0.0006133070702282,1.7418192664528057e-05,0.4359479285335679,0.3577639751552795,0,0
6183.A0A3Q0KBK9,0.219298245614035,0.0175438596491228,0.2603119930668207,0.1916597164303586,140.83529058530985,0.1925638996541375,0.0093031123139377,0.0007616864343294,1.0485504748629088e-05,0.4562277416311332,0.1916597164303586,0,0
6183.A0A3Q0KBL3,0.2758620689655172,0.0098522167487684,0.3591240821501439,0.3548693816897465,868.0697674825916,0.5789007488310057,0.1996786197564276,0.0267468914631454,0.0001004742832375,0.546024271441203,0.3548693816897465,0,0
6183.A0A3Q0KBL5,0.3217391304347826,0.008695652173913,0.2772931868054686,0.2555708311851979,287.7919483725241,0.2771229037456671,0.0447395128552097,0.0035258112719046,8.976013666930926e-05,0.4916675632567673,0.2555708311851979,1,1
6183.A0A3Q0KBL8,0.2983870967741935,0.0403225806451612,0.1738543376284759,0.3990596532471349,112.40557650838116,0.3914231018145551,0.0071041948579161,0.0003123776310645,1.840849695193472e-06,0.4249192952731956,0.3895582329317269,0,0
6183.A0A3Q0KBL9,0.3349851337958374,0.0297324083250743,0.1823840951682555,0.18737069631002,193.7252723156042,0.2224768044041999,0.0215663058186738,0.0012555505264148,1.4078882257455814e-05,0.4714433057045674,0.18737069631002,0,0
6183.A0A3Q0KBM0,0.29,0.0183333333333333,0.177459847297511,0.1476418318523581,121.1648637758677,0.1224184728032272,0.0071887686062246,0.0003917173104632,1.3947285611675216e-05,0.4374159863636966,0.1215686274509803,0,0
6183.A0A3Q0KBM3,0.3186619718309859,0.0096830985915492,0.1770362121811102,0.1290802213001383,188.13628614750988,0.1425114685420618,0.0205514208389715,0.0010722136628954,5.303233340315259e-05,0.4679521115825857,0.1269938441655613,0,0
6183.A0A3Q0KBM8,0.2991967871485944,0.0120481927710843,0.4249140248990635,0.4325333283682133,265.29779129644515,0.4412544186507333,0.0392422192151556,0.0058991384850152,1.02541793279616e-05,0.4862886710297902,0.4325333283682133,0,0
6183.A0A3Q0KBM9,0.2644787644787644,0.0096525096525096,0.2661526073679006,0.3301040775226372,400.9016946728713,0.4210821791899846,0.0747631935047361,0.0060199486456786,0.0001248815596346,0.5025526460130753,0.3301040775226372,1,1
6183.A0A3Q0KBN4,0.2608695652173912,0.0217391304347826,0.1280860425323881,0.0,6.566913295040149,0.0,8.457374830852504e-05,3.4329749349828224e-06,0.0,0.3296872345964679,0.0,0,0
6183.A0A3Q0KBN6,0.3082386363636363,0.0198863636363636,0.4142830019570494,0.576021393552221,318.50692969978314,0.5854132335605181,0.0537889039242219,0.0085783711417277,2.861410252901176e-05,0.488524013855251,0.576021393552221,0,0
6183.A0A3Q0KBN8,0.2959268495428096,0.0149625935162094,0.1414117046792458,0.19145452419009,175.0140857655307,0.2394178532194587,0.0193673883626522,0.0008794227345537,5.917878624768607e-05,0.4533615004869369,0.1881176740979085,0,0
6183.A0A3Q0KBN9,0.2997032640949555,0.0207715133531157,0.3277670496211195,0.3024499768870105,374.487195276096,0.3236197711740717,0.06765899864682,0.0068099932698832,7.565607908087657e-05,0.5006372168881914,0.3009386733416771,1,1
6183.A0A3Q0KBP0,0.2635983263598326,0.00836820083682,0.344930914765143,0.40107574037767,401.3115761836109,0.430180001887702,0.0745094722598105,0.0077069752292715,5.523662705963473e-05,0.5052240654979108,0.40107574037767,1,1
6183.A0A3Q0KBP2,0.326,0.034,0.3191117383354638,0.2598427280366058,963.7872657987168,0.540490370540382,0.2254736129905277,0.0252857150126972,0.0006728636476977,0.5541514813972391,0.2598427280366058,0,1
6183.A0A3Q0KBP5,0.3195488721804511,0.0413533834586466,0.2014784345788484,0.266030306645985,200.7257173095003,0.2779706544970418,0.0245263870094722,0.001211841012134,1.680282420457727e-05,0.4653813555555795,0.266030306645985,0,0
6183.A0A3Q0KBP6,0.3223684210526316,0.0263157894736842,0.2621964283146649,0.3489170926102399,335.0254196344801,0.3877622374369537,0.057510148849797,0.0040178149872047,3.138050413100048e-05,0.4945796696516545,0.3489170926102399,1,0
6183.A0A3Q0KBP7,0.282442748091603,0.0190839694656488,0.3577419026873148,0.7586872586872587,121.19964668726324,0.7536263164423723,0.0095568335588633,0.0013098822672772,2.6183454392641e-06,0.4250738001438497,0.7452591656131479,0,0
6183.A0A3Q0KBP8,0.3403508771929824,0.0140350877192982,0.3499684503135072,0.401641586867305,125.29697450519356,0.4016415868673052,0.0072733423545331,0.0007903637689646,5.421869803627212e-07,0.4432035353359426,0.401641586867305,0,0
